M020-kode;M020-navn
NiN-3.0-T-C-PE-NA-MB-TD04-M020-01;intermediær til litt kalkrik fosse-eng med fossestøv og -tåkepreg
NiN-3.0-T-C-PE-NA-MB-TD04-M020-02;klart kalkrik fosse-eng med fossestøv og -tåkepreg
NiN-3.0-T-C-PE-NA-MB-TD04-M020-03;intermediær til litt kalkrik fosse-eng med fosseyrpreg
NiN-3.0-T-C-PE-NA-MB-TD04-M020-04;klart kalkrik fosse-eng med fosseyrpreg
NiN-3.0-T-C-PE-NA-MB-TD05-M020-01;sterkt intermediær til litt kalkrik naturlig beitebetinget eng
NiN-3.0-T-C-PE-NA-MB-TD05-M020-02;klart kalkrik naturlig beitebetinget eng
NiN-3.0-T-C-PE-NA-MB-TD06-M020-01;kalkfattig rabbe
NiN-3.0-T-C-PE-NA-MB-TD06-M020-02;intermediær til litt kalkrik rabbe
NiN-3.0-T-C-PE-NA-MB-TD06-M020-03;klart kalkrik rabbe
NiN-3.0-T-C-PE-NA-MB-TD06-M020-04;saltanriket rabbe
NiN-3.0-T-C-PE-NA-MB-TE01-M020-01;embryonal- primær- og hvit dyne
NiN-3.0-T-C-PE-NA-MB-TE01-M020-02;grå og brun dyne
NiN-3.0-T-C-PE-NA-MB-TE01-M020-03;primær og hvit innlandsdyne
NiN-3.0-T-C-PE-NA-MB-TE01-M020-04;grå og brun innlandsdyne
NiN-3.0-T-C-PE-NA-MB-TE02-M020-01;leir- og siltskred
NiN-3.0-T-C-PE-NA-MB-TE02-M020-02;sandskred
NiN-3.0-T-C-PE-NA-MB-TE02-M020-03;grusskred
NiN-3.0-T-C-PE-NA-MB-TE03-M020-01;intermediær til sterkt kalkrik åpen leire- til grus-flomfastmark
